report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2017-11-01,Historical,Suburban,0,,32.53333333333333,0,0.0
2017-12-01,Historical,Suburban,0,,33.53333333333333,0,0.0
2018-01-01,Historical,Suburban,0,,34.56666666666667,0,0.0
2018-02-01,Historical,Suburban,0,,35.6,0,0.0
2018-03-01,Historical,Suburban,3,2.0,36.53333333333333,0,0.0
2018-04-01,Historical,Suburban,3,0.0,37.56666666666667,0,0.0
2018-05-01,Historical,Suburban,1,2.0,38.56666666666667,0,0.0
2018-06-01,Historical,Suburban,2,1.0,39.6,0,0.0
2018-07-01,Historical,Suburban,5,1.6,40.6,0,0.0
2018-08-01,Historical,Suburban,2,1.0,41.63333333333333,0,0.0
2018-09-01,Historical,Suburban,0,,42.666666666666664,0,0.0
2018-10-01,Historical,Suburban,0,,43.666666666666664,0,0.0
2018-11-01,Historical,Suburban,2,0.0,44.7,0,0.0
2018-12-01,Historical,Suburban,3,1.0,45.7,0,0.0
2019-01-01,Historical,Suburban,2,1.0,46.733333333333334,0,0.0
2019-02-01,Historical,Suburban,0,,47.766666666666666,0,0.0
2019-03-01,Historical,Suburban,3,0.0,48.7,0,0.0
2019-04-01,Historical,Suburban,0,,49.733333333333334,0,0.0
2019-05-01,Historical,Suburban,0,,50.733333333333334,0,0.0
2019-06-01,Historical,Suburban,6,0.0,51.766666666666666,0,0.0
2019-07-01,Historical,Suburban,4,0.5,52.766666666666666,0,0.0
2019-08-01,Historical,Suburban,0,,53.8,0,0.0
2019-09-01,Historical,Suburban,2,0.0,54.833333333333336,0,0.0
2019-10-01,Historical,Suburban,0,,55.833333333333336,0,0.0
2019-11-01,Historical,Suburban,0,,56.86666666666667,0,0.0
2019-12-01,Historical,Suburban,2,0.0,57.86666666666667,0,0.0
2020-01-01,Historical,Suburban,2,0.0,58.9,1,58.9
2020-02-01,Historical,Suburban,0,,59.93333333333333,1,59.93333333333333
2020-03-01,Historical,Suburban,0,,60.9,1,60.9
2020-04-01,Historical,Suburban,0,,61.93333333333333,1,61.93333333333333
2020-05-01,Historical,Suburban,2,0.0,62.93333333333333,1,62.93333333333333
2020-06-01,Historical,Suburban,0,,63.96666666666667,1,63.96666666666667
2020-07-01,Historical,Suburban,0,,64.96666666666667,1,64.96666666666667
2020-08-01,Historical,Suburban,0,,66.0,1,66.0
2020-09-01,Historical,Suburban,0,,67.03333333333333,1,67.03333333333333
2020-10-01,Historical,Suburban,2,0.0,68.03333333333333,1,68.03333333333333
2020-11-01,Historical,Suburban,0,,69.06666666666666,1,69.06666666666666
2020-12-01,Historical,Suburban,0,,70.06666666666666,1,70.06666666666666
2021-01-01,Historical,Suburban,4,1.0,71.1,1,71.1
2021-02-01,Historical,Suburban,0,,72.13333333333334,1,72.13333333333334
2021-03-01,Historical,Suburban,3,1.0,73.06666666666666,1,73.06666666666666
2021-04-01,Historical,Suburban,2,1.0,74.1,1,74.1
2021-05-01,Historical,Suburban,2,0.0,75.1,1,75.1
2021-06-01,Historical,Suburban,4,0.0,76.13333333333334,1,76.13333333333334
2021-07-01,Historical,Suburban,1,0.0,77.13333333333334,1,77.13333333333334
2021-08-01,Historical,Suburban,3,0.6666666666666666,78.16666666666667,1,78.16666666666667
2021-09-01,Historical,Suburban,4,0.0,79.2,1,79.2
2021-10-01,Historical,Suburban,7,0.14285714285714285,80.2,1,80.2
