ID,Oil Spill Volume,Produced Water Spill Volume,Report Delay (Days)
08827,>=1 and <5>=1 and <5>=1 and <5>=5 and <100>=5 and <100>0 and <1>=5 and <100>0 and <1>=5 and <100>0 and <10000000>0 and <1>0 and <1>=100>=100>=1000000000000>0 and <1>0 and <1>0 and <1,>=1 and <5>=1 and <5>=1 and <500>=1000>=1000>=5 and <100>=100>=100>=100>=1 and <5>=1 and <5>=1 and <5>=100>=5 and <100>=5 and <100000>0 and <1>0 and <1>0 and <1>=100>=100>=100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=100>=5 and <100,0.8285714285714286
0884,00000UnknownUnknown00>=1 and <5>=1 and <50000000>=1 and <50000000000>=5 and <100>=5 and <100UnknownUnknown>=5 and <1000UnknownUnknown>=1 and <5>=1 and <5>=1 and <5>=1 and <5Unknown0Unknown>=1 and <5UnknownUnknown0Unknown0>=1 and <5>=1 and <5Unknown>=1 and <5>=1 and <50000000Unknown00000>=5 and <100Unknown>=5 and <100Unknown>=5 and <100UnknownUnknown00>=1 and <5>=1 and <5>=1 and <5>=5 and <100>=1 and <5>=5 and <100>0 and <1>0 and <1Unknown>=1 and <50>=1 and <5>=5 and <100Unknown00Unknown000Unknown000UnknownUnknownUnknownUnknown,0>=1 and <5>=1 and <5>0 and <10UnknownUnknown>0 and <1>=1 and <5>=1 and <5>=1 and <5UnknownUnknownUnknown>0 and <1>=5 and <100>=5 and <100>=5 and <100>=1 and <50UnknownUnknown0UnknownUnknownUnknown>=1 and <5>=1 and <5>=1 and <500UnknownUnknown0UnknownUnknownUnknown>=1 and <5>=1 and <500UnknownUnknownUnknown>=1 and <5UnknownUnknownUnknown>=1 and <50>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=1 and <5000>=100>=100000>=1 and <5>=1 and <500>=1 and <5>=5 and <100Unknown>=5 and <100Unknown>=5 and <100UnknownUnknownUnknownUnknown>=1 and <50>=1 and <500000Unknown>=1 and <5Unknown00Unknown>=1 and <5>=1 and <5UnknownUnknown>=5 and <100UnknownUnknownUnknown>=5 and <100UnknownUnknownUnknownUnknownUnknown,3.5714285714285716
08868,>=1 and <5>=1 and <5>=1 and <5,>=5 and <100>=5 and <100>=5 and <100,1.0
08883,00UnknownUnknown00Unknown0000>=5 and <100>=5 and <10000>=1 and <5Unknown>=5 and <100Unknown>=1 and <5>=1 and <5>=1 and <5UnknownUnknown>=1 and <5>=1 and <5UnknownUnknown>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=5 and <100>=5 and <10000UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown00Unknown0UnknownUnknownUnknownUnknown>=100>=100>=5 and <100>0 and <1,0000>=1 and <5>=1 and <50UnknownUnknownUnknown0000Unknown000Unknown0000Unknown>=5 and <100>=5 and <100Unknown0>=1 and <5>=1 and <5>=1 and <5>=5 and <10000>=1 and <5>=1 and <5>=5 and <100>=5 and <100UnknownUnknownUnknownUnknownUnknownUnknown00Unknown0UnknownUnknownUnknownUnknown000>0 and <1,1.3928571428571428
08938,00>=5 and <100>=1 and <5>=1 and <5>=1 and <5>=5 and <100>=5 and <100UnknownUnknownUnknownUnknown00Unknown0UnknownUnknown>=100>=1000>=5 and <100,000>=1 and <5>=1 and <5>=1 and <500UnknownUnknownUnknownUnknown00Unknown0UnknownUnknown00Unknown0,0.5
08968,UnknownUnknown0000000000000000>=1 and <5>=1 and <5UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>=5 and <100>=5 and <1000UnknownUnknownUnknownUnknown0UnknownUnknownUnknownUnknown00UnknownUnknownUnknownUnknownUnknownUnknown,UnknownUnknown>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=1 and <500000000UnknownUnknown00UnknownUnknownUnknown0000Unknown>=1 and <500UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown00UnknownUnknownUnknownUnknownUnknownUnknown,0.7755102040816326
08986,UnknownUnknown0000000000000UnknownUnknownUnknownUnknownUnknownUnknown>=5 and <100>=5 and <1000UnknownUnknownUnknownUnknownUnknownUnknown00UnknownUnknownUnknownUnknownUnknownUnknown,UnknownUnknown>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=1 and <500000UnknownUnknownUnknownUnknownUnknown00Unknown00UnknownUnknownUnknownUnknownUnknownUnknownUnknown00UnknownUnknownUnknownUnknownUnknownUnknown,0.7631578947368421
08998,Unknown>=1 and <5>=1 and <5>=5 and <100>=5 and <100>=1 and <5>=1 and <5>=5 and <100000000UnknownUnknownUnknownUnknown>0 and <1Unknown>=1 and <5UnknownUnknown000>0 and <1,Unknown>=5 and <100>=5 and <100>=5 and <100>=5 and <10000>=5 and <100>=5 and <100>=5 and <100>=5 and <100000UnknownUnknownUnknownUnknown0Unknown0UnknownUnknown0000,2.111111111111111
560555,00,>=5 and <100>=5 and <100,2.0
560573,UnknownUnknownUnknown0Unknown,UnknownUnknownUnknownUnknownUnknown,6.0
